H3_INDEX,ANO_SEMANA,QTD_CRIMES,ALVO
89a80a408cfffff,2023-36,6,1
89a80a408d3ffff,2023-17,4,1
89a80a409bbffff,2023-20,1,1
89a80a40c07ffff,2023-22,5,1
89a80a40c17ffff,2023-10,5,1
89a80a40c37ffff,2023-01,1,1
89a80a40c37ffff,2023-02,5,1
89a80a40c53ffff,2023-33,4,1
89a80a40c67ffff,2023-41,5,1
89a80a40c83ffff,2023-33,5,1
89a80a40c8fffff,2023-33,1,1
89a80a40c93ffff,2023-35,1,1
89a80a40ca3ffff,2023-05,1,1
89a80a40ca3ffff,2023-13,1,1
89a80a40cabffff,2023-13,28,1
89a80a40cabffff,2023-43,1,1
89a80a40cabffff,2023-47,1,1
89a80a40cb3ffff,2023-12,5,1
89a80a40cb3ffff,2023-46,1,1
89a80a40cb7ffff,2022-52,1,1
89a80a40dcfffff,2023-01,4,1
89a80a40ddbffff,2023-42,1,1
89a80a4205bffff,2023-28,11,1
89a80a421c3ffff,2023-05,6,1
89a80a42293ffff,2023-23,1,1
89a80a42813ffff,2023-20,1,1
89a80a42827ffff,2023-13,1,1
89a80a42827ffff,2023-18,1,1
89a80a4282fffff,2023-45,1,1
89a80a4282fffff,2023-50,24,1
89a80a4285bffff,2023-35,1,1
89a80a4286fffff,2022-32,4,1
89a80a4286fffff,2022-51,4,1
89a80a4287bffff,2023-30,1,1
89a80a42883ffff,2023-13,1,1
89a80a4288fffff,2023-47,1,1
89a80a4290fffff,2022-40,4,1
89a80a4294bffff,2023-03,1,1
89a80a4295bffff,2023-02,1,1
89a80a4295bffff,2023-34,1,1
89a80a4295bffff,2023-51,1,1
89a80a4295bffff,2023-53,1,1
89a80a4298fffff,2023-24,1,1
89a80a42993ffff,2023-51,5,1
89a80a429c3ffff,2023-44,1,1
89a80a429c7ffff,2023-20,5,1
89a80a42a03ffff,2023-43,9,1
89a80a42a07ffff,2023-31,1,1
89a80a42a13ffff,2023-46,5,1
89a80a42a33ffff,2023-20,5,1
89a80a42a37ffff,2023-02,5,1
